TVD (ft) =	7503.00	ft
		
Time (minutes)	Pressure(psi)	Rate (gpm)
102.08	1637.06	0.00
102.14	1636.98	0.00
102.19	1636.89	0.00
102.25	1636.78	0.00
102.32	1636.68	0.00
102.35	1636.57	0.00
102.43	1636.46	0.00
102.48	1636.37	0.00
102.54	1636.28	0.00
102.60	1636.18	0.00
102.65	1636.11	0.00
102.70	1635.98	0.00
102.76	1635.89	0.00
102.83	1635.77	0.00
102.89	1635.70	0.00
102.94	1635.63	0.00
103.00	1635.52	0.00
103.05	1635.43	0.00
103.11	1635.32	0.00
103.16	1635.24	0.00
103.24	1635.15	0.00
103.29	1635.04	0.00
103.34	1634.96	0.00
103.40	1634.89	0.00
103.46	1634.80	0.00
103.51	1634.70	0.00
103.57	1634.63	0.00
103.62	1634.52	0.00
103.69	1634.46	0.00
103.75	1634.35	0.00
103.80	1634.25	0.00
103.86	1634.15	0.00
103.92	1634.06	0.00
103.97	1633.97	0.00
104.02	1633.89	0.00
104.10	1633.81	0.00
104.15	1633.70	0.00
104.21	1633.61	0.00
104.26	1633.53	0.00
104.32	1633.42	0.00
104.37	1633.34	0.00
104.43	1633.26	0.00
104.48	1633.17	0.00
104.54	1633.08	0.00
104.61	1632.99	0.00
104.66	1632.91	0.00
104.72	1632.84	0.00
104.79	1632.70	0.00
104.85	1632.62	0.00
104.91	1632.52	0.00
104.96	1632.46	0.00
105.01	1632.37	0.00
105.07	1632.29	0.00
105.12	1632.20	0.00
105.20	1632.07	0.00
105.25	1632.04	0.00
105.31	1631.94	0.00
105.36	1631.87	0.00
105.42	1631.77	0.00
105.47	1631.69	0.00
105.53	1631.59	0.00
105.58	1631.51	0.00
105.64	1631.43	0.00
105.71	1631.36	0.00
105.77	1631.27	0.00
105.82	1631.18	0.00
105.88	1631.12	0.00
105.93	1631.01	0.00
105.98	1630.90	0.00
106.04	1630.84	0.00
106.11	1630.76	0.00
106.17	1630.66	0.00
106.23	1630.61	0.00
106.28	1630.50	0.00
106.33	1630.44	0.00
106.39	1630.37	0.00
106.46	1630.27	0.00
106.52	1630.20	0.00
106.57	1630.11	0.00
106.63	1630.02	0.00
106.68	1629.95	0.00
106.74	1629.88	0.00
106.79	1629.76	0.00
106.85	1629.69	0.00
106.90	1629.60	0.00
106.97	1629.53	0.00
107.03	1629.45	0.00
107.09	1629.38	0.00
107.14	1629.29	0.00
107.20	1629.21	0.00
107.25	1629.13	0.00
107.30	1629.08	0.00
107.38	1629.00	0.00
107.42	1628.94	0.00
107.49	1628.84	0.00
107.55	1628.74	0.00
107.60	1628.67	0.00
107.65	1628.58	0.00
107.71	1628.51	0.00
107.76	1628.43	0.00
107.82	1627.57	0.00
107.89	1627.77	0.00
107.95	1627.67	0.00
108.00	1627.41	0.00
108.06	1627.40	0.00
108.11	1627.43	0.00
108.17	1627.44	0.00
108.22	1627.44	0.00
108.29	1627.37	0.00
108.35	1627.29	0.00
108.41	1627.11	0.00
108.46	1626.93	0.00
108.52	1626.86	0.00
108.57	1626.77	0.00
108.64	1626.75	0.00
108.70	1626.69	0.00
108.75	1626.60	0.00
108.81	1626.55	0.00
