Depth(MD)	DTC	DTS	Bulk Density
[ft]	[us/ft]	[us/ft]	[g/cc]
2181.5	148.96	473.6	2.015
2182	147.41	465.567	2.028
2182.5	147.329	464.527	2.028
2183	145.583	461.754	2.019
2183.5	144.522	461.369	2.002
2184	144.509	459.484	1.975
2184.5	145.795	456.177	1.944
2185	146.839	455.3	1.923
2185.5	147.791	451.933	1.908
2186	149.127	463.067	1.888
2186.5	150.683	475.378	1.861
2187	151.638	490.417	1.828
2187.5	152.338	491.534	1.787
2188	152.86	498.882	1.733
2188.5	153.792	506.877	1.674
2189	154.74	513.026	1.615
2189.5	155.28	513.589	1.579
2190	155.29	510.009	1.592
2190.5	154.3	502.694	1.663
2191	152.862	496.757	1.764
2191.5	150.342	490.78	1.855
2192	149.148	493.067	1.922
2192.5	149.301	496.4	1.962
2193	150.005	499.1	1.961
2193.5	151.011	499.6	1.912
2194	151.034	498.778	1.867
2194.5	151.003	497.2	1.873
2195	150.261	491.25	1.931
2195.5	150.022	489.633	1.985
2196	149.76	480.327	1.995
2196.5	149.731	473.513	1.987
2197	150.028	469.277	1.984
2197.5	150.33	466.593	1.968
2198	150.923	464.1	1.933
2198.5	151.362	464.35	1.914
2199	151.166	458.809	1.935
2199.5	150.637	459.126	1.97
2200	149.91	460.125	1.981
2200.5	149.53	462.348	1.977
2201	149.406	464.939	1.973
2201.5	149.473	472.581	1.962
2202	149.788	482.144	1.954
2202.5	149.766	494.542	1.964
2203	149.567	501.591	1.989
2203.5	149.033	509.345	2.006
2204	147.364	514.6	2.012
2204.5	146.872	517.667	2.011
2205	145.488	517.062	2.004
2205.5	146.191	510.5	1.994
2206	148.125	501.75	1.991
2206.5	150.159	485.938	1.989
2207	153.551	480.096	1.981
2207.5	155.155	474.44	1.967
2208	155.237	477.578	1.949
2208.5	154.371	484.237	1.933
2209	154.102	492.111	1.927
2209.5	153.067	496.081	1.93
2210	152.673	499.949	1.93
2210.5	151.341	502.646	1.934
2211	149.76	505.458	1.966
2211.5	147.813	496.252	2.025
2212	146.063	481.01	2.075
2212.5	144.567	459.449	2.075
2213	143.808	450.517	2.04
2213.5	143.962	448.663	2
2214	144.715	452.514	1.967
2214.5	145.474	456.978	1.951
2215	145.873	465.202	1.96
2215.5	145.991	469.931	1.985
2216	146.079	475.964	2.008
2216.5	146.545	483.318	2.014
2217	148.11	490.663	1.996
2217.5	148.762	495.515	1.973
2218	149.103	497.274	1.977
2218.5	148.785	496.765	2.002
2219	147.574	495.949	2.012
2219.5	147.297	495.869	1.995
2220	147.134	497.745	1.979
2220.5	146.572	500.69	1.98
2221	145.032	503.571	1.99
2221.5	142.143	504.368	1.996
2222	137.958	501.669	1.993
2222.5	134.479	495.42	1.987
2223	133.913	488.206	1.985
2223.5	137.116	482.669	1.993
2224	143.037	480.64	2.005
2224.5	147.808	480.668	1.99
2225	150.756	483.91	1.937
2225.5	153.48	487.719	1.883
2226	156.057	491.918	1.87
2226.5	157.367	490.639	1.897
2227	157.933	485.485	1.937
2227.5	157.952	477.185	1.954
2228	158.172	470.172	1.949
2228.5	157.203	465.462	1.946
2229	156.759	464.551	1.955
2229.5	155.712	466.02	1.966
2230	154.505	468.436	1.965
2230.5	153.073	470.618	1.96
2231	152.888	471.644	1.96
2231.5	153.549	472.665	1.964
2232	154.202	473.138	1.969
2232.5	154.038	473.931	1.971
2233	153.824	474.519	1.967
2233.5	153.793	475.746	1.955
2234	153.899	477.931	1.947
2234.5	154.364	482.246	1.952
2235	154.353	488.949	1.966
2235.5	154.455	496.736	1.975
2236	154.384	502.665	1.976
2236.5	154.507	505.185	1.979
2237	153.016	506	1.992
2237.5	150.949	506	2.009
2238	147.708	504.25	2.019
2238.5	146.454	502.556	2.015
2239	144.755	502.571	2.005
2239.5	143.47	502.079	1.995
2240	143.401	500.243	1.987
2240.5	145.956	495.006	1.976
2241	149.301	487.15	1.967
2241.5	150.984	479.401	1.966
2242	151.694	476.719	1.97
2242.5	151.64	479.728	1.967
2243	151.027	483.548	1.961
2243.5	150.292	485.64	1.966
2244	149.477	484.199	1.976
2244.5	148.657	480.971	1.984
2245	148.015	477.51	1.999
2245.5	147.536	474.596	2.022
2246	147.001	472.647	2.038
2246.5	146.326	471.371	2.039
2247	145.808	471.225	2.035
2247.5	146.542	473.037	2.032
2248	148.629	477.313	2.03
2248.5	150.2	483.449	2.024
2249	151.166	490.739	2.012
2249.5	151.86	497.932	1.998
2250	151.858	505.58	1.988
2250.5	151.623	514.604	1.982
2251	151.123	524.408	1.979
2251.5	150.701	532.562	1.975
2252	150.649	536.578	1.966
2252.5	151.675	537.554	1.95
2253	152.725	536.367	1.931
2253.5	152.873	533.16	1.926
2254	151.183	526.95	1.945
2254.5	147.326	517.781	1.97
2255	145.151	507.405	1.979
2255.5	143.829	497.379	1.993
2256	142.644	486.024	2.024
2256.5	142.159	483.991	2.046
2257	141.107	489.553	2.045
2257.5	141.958	494.944	2.042
2258	141.555	501.117	2.049
2258.5	141.165	503.712	2.055
2259	140.47	500.601	2.054
2259.5	140.392	493.32	2.057
2260	141.89	483.415	2.07
2260.5	141.741	475.654	2.089
2261	142.41	469.638	2.109
2261.5	142.006	467.906	2.123
2262	140.612	461.444	2.125
2262.5	139.508	459.404	2.117
2263	137.903	460.62	2.106
2263.5	137.717	468.74	2.093
2264	137.863	470.574	2.077
2264.5	138.926	466.175	2.067
2265	139.892	459.45	2.073
2265.5	141.002	453.579	2.093
2266	142.082	450.957	2.112
2266.5	143.64	448.311	2.098
2267	144.484	446.608	2.051
2267.5	144.935	448.543	2.016
2268	144.931	456.142	2.019
2268.5	145.741	464.82	2.037
2269	146.201	473.518	2.047
2269.5	145.563	480.699	2.062
2270	143.739	477.325	2.08
2270.5	141.774	460.028	2.075
2271	140.633	444.031	2.055
2271.5	138.49	435.67	2.059
2272	137.636	438.462	2.1
2272.5	137.848	444.486	2.141
2273	138.608	450.151	2.131
2273.5	138.992	456.302	2.083
2274	138.966	458.924	2.055
2274.5	138.65	457.55	2.071
2275	137.847	449.346	2.111
2275.5	137.138	440.313	2.14
2276	136.604	431.455	2.148
