Time (s)	F (lb)	Xa (in)	Ya (in)
338	71.83257	6.21541E-05	2.06161E-05
339	73.22033	4.99159E-05	2.09891E-05
340	73.64388	6.02379E-05	2.17422E-05
341	73.4042	7.77704E-05	2.12175E-05
342	72.72952	8.09733E-05	2.07212E-05
343	72.90676	6.35095E-05	2.15148E-05
344	72.8755	7.21705E-05	2.13961E-05
345	72.7318	7.37504E-05	2.14271E-05
346	73.02015	6.47907E-05	2.15647E-05
347	72.01107	6.00618E-05	2.1712E-05
348	73.73196	5.88071E-05	2.22746E-05
349	72.55046	6.36603E-05	2.257E-05
350	73.13481	7.70543E-05	2.23483E-05
351	72.42951	6.60285E-05	2.21933E-05
352	72.33176	6.09695E-05	2.23781E-05
353	72.5911	7.0027E-05	2.15395E-05
354	73.82386	5.7423E-05	2.20842E-05
355	73.16305	7.10033E-05	2.12585E-05
356	72.99313	7.46888E-05	2.10303E-05
357	73.78562	7.25118E-05	2.17841E-05
358	72.50626	5.91225E-05	2.27983E-05
359	72.5479	7.55389E-05	2.1343E-05
360	72.84433	6.4577E-05	2.14207E-05
361	71.52753	7.76253E-05	2.05316E-05
362	72.69829	5.84006E-05	2.16337E-05
363	72.49776	6.88049E-05	2.16375E-05
364	73.53806	5.56385E-05	2.34628E-05
365	73.72958	7.49511E-05	2.27389E-05
366	71.78445	6.8215E-05	2.32712E-05
367	72.353	6.57028E-05	2.20921E-05
368	72.62676	7.47724E-05	2.18678E-05
369	71.79037	6.12452E-05	2.12825E-05
370	74.12378	6.14949E-05	2.2092E-05
371	73.83046	6.55347E-05	2.21983E-05
372	72.90671	5.83254E-05	2.3151E-05
373	73.95998	6.54756E-05	2.27328E-05
374	72.74977	6.08473E-05	2.24135E-05
375	71.4922	6.10066E-05	0.000021398
376	72.21327	6.83831E-05	2.16555E-05
377	73.86052	8.28082E-05	2.09907E-05
378	71.89717	6.13627E-05	2.2625E-05
379	72.29192	6.97137E-05	2.22978E-05
380	73.54848	6.11586E-05	2.21078E-05
381	73.02416	6.55509E-05	2.32053E-05
382	72.71204	7.33632E-05	2.11501E-05
383	71.87625	6.78517E-05	2.19949E-05
384	72.70866	6.4023E-05	2.25134E-05
385	72.45666	7.64182E-05	2.26051E-05
386	73.33627	6.91296E-05	2.37479E-05
387	72.21298	8.20429E-05	2.24785E-05
388	72.65085	6.21282E-05	2.34438E-05
389	72.77661	7.74859E-05	2.22237E-05
390	71.36532	6.27819E-05	2.21748E-05
391	72.98843	5.98075E-05	2.28966E-05
392	72.89084	6.99864E-05	2.35715E-05
393	72.92522	6.05142E-05	2.39592E-05
394	73.23765	8.85919E-05	2.17631E-05
395	71.51577	8.11672E-05	2.17925E-05
396	72.58167	7.68809E-05	2.10831E-05
397	70.95037	6.90277E-05	2.15112E-05
398	73.27438	6.4106E-05	2.20816E-05
399	71.6535	7.86693E-05	2.1293E-05
400	71.84442	8.16553E-05	2.16321E-05
401	73.58084	7.72891E-05	2.3066E-05
402	73.59555	7.88882E-05	2.19802E-05
403	75.08997	8.13487E-05	2.16634E-05
404	71.70261	6.37114E-05	2.15912E-05
405	73.20813	8.52217E-05	2.14638E-05
406	74.23414	7.56418E-05	2.24783E-05
407	72.36671	7.98904E-05	2.19616E-05
408	73.1813	6.7232E-05	2.25665E-05
409	74.80402	8.02339E-05	2.25958E-05
410	72.78412	7.68508E-05	2.20766E-05
411	72.59256	6.57469E-05	2.23483E-05
412	73.86465	6.74034E-05	2.287E-05
413	73.30492	8.25798E-05	2.18851E-05
414	72.42838	6.72162E-05	2.32876E-05
415	71.59436	7.14194E-05	2.37797E-05
416	73.80984	8.36915E-05	2.27519E-05
417	72.59434	7.82916E-05	2.27189E-05
418	71.93605	8.11085E-05	2.26169E-05
419	73.72388	8.01621E-05	2.25108E-05
420	72.32626	7.37558E-05	2.32873E-05
421	72.47281	7.19323E-05	2.34156E-05
422	72.40104	6.51709E-05	2.46565E-05
423	74.27259	7.41021E-05	2.45244E-05
424	72.99776	9.26177E-05	2.34897E-05
425	71.94927	8.49803E-05	2.33E-05
426	72.22018	8.24297E-05	2.36523E-05
427	72.10019	7.3505E-05	2.44609E-05
428	74.00269	8.14115E-05	2.42004E-05
429	72.51526	7.79144E-05	2.49265E-05
430	73.74715	8.18057E-05	2.43005E-05
431	72.81902	9.08206E-05	2.31693E-05
432	71.26176	7.64171E-05	2.30537E-05
433	70.5062	6.614E-05	2.43241E-05
434	72.67152	8.16641E-05	2.41762E-05
435	71.54875	8.19194E-05	2.40572E-05
436	71.9124	7.63329E-05	2.48905E-05
437	73.65482	7.39559E-05	2.56228E-05
438	72.15402	6.58353E-05	2.51096E-05
439	72.57011	8.09927E-05	2.3781E-05
440	71.3447	8.04354E-05	2.32727E-05
441	72.9344	7.75713E-05	2.3668E-05
442	72.5163	6.57686E-05	2.49469E-05
443	73.04015	8.61556E-05	2.45081E-05
444	74.21028	8.25011E-05	2.41638E-05
445	72.52241	8.7678E-05	2.33138E-05
446	73.43063	6.78383E-05	2.42322E-05
447	72.35272	9.0052E-05	2.2519E-05
448	73.80951	6.74673E-05	2.44225E-05
449	72.67053	8.37993E-05	2.35348E-05
450	72.94382	7.86304E-05	2.42221E-05
451	72.95018	8.20914E-05	2.38935E-05
452	74.26143	7.95069E-05	2.38062E-05
453	72.93043	7.33527E-05	2.39169E-05
454	72.8095	6.66382E-05	2.40988E-05
455	73.19482	7.97585E-05	2.36012E-05
456	73.12251	6.8014E-05	0.0000245
457	73.63894	8.26544E-05	2.37815E-05
458	73.36378	7.14846E-05	2.49193E-05
459	71.56626	7.84707E-05	2.36057E-05
460	74.37125	8.22895E-05	2.45133E-05
461	73.43569	7.90544E-05	2.38497E-05
462	73.31168	7.30497E-05	2.389E-05
463	73.10078	7.47221E-05	2.45489E-05
464	72.88263	6.65768E-05	2.57002E-05
465	73.33706	8.50404E-05	2.53087E-05
466	72.62107	8.27365E-05	2.47159E-05
467	73.87376	8.38328E-05	2.38807E-05
468	73.1546	7.31402E-05	2.44268E-05
469	73.31895	6.50294E-05	2.48763E-05
470	72.1991	6.63352E-05	2.47506E-05
471	73.86311	7.36449E-05	2.5685E-05
472	73.03572	7.5604E-05	2.57415E-05
473	73.75813	8.7025E-05	2.55929E-05
474	71.7794	7.71152E-05	2.50728E-05
475	73.27735	7.33758E-05	2.55207E-05
476	72.47773	7.69063E-05	2.43048E-05
477	73.8829	7.08153E-05	2.47666E-05
478	73.7179	6.95524E-05	2.53578E-05
479	72.45202	7.7298E-05	2.56532E-05
480	72.061	8.12047E-05	2.52376E-05
481	73.66225	8.93662E-05	2.45402E-05
482	71.84563	7.1607E-05	2.51396E-05
483	74.25954	8.84775E-05	2.56489E-05
484	73.15026	9.23057E-05	2.47792E-05
485	74.13667	8.12406E-05	2.56307E-05
486	72.43729	9.68141E-05	2.47476E-05
487	71.8947	8.13304E-05	2.58309E-05
488	73.35892	8.44261E-05	2.57767E-05
489	72.78703	7.86215E-05	2.4918E-05
490	72.56215	8.19805E-05	2.54356E-05
491	73.27778	8.34954E-05	2.50217E-05
492	72.46595	8.32054E-05	2.46816E-05
493	72.62596	6.92508E-05	2.56687E-05
494	73.25521	7.53182E-05	2.59338E-05
495	73.36626	8.20689E-05	2.58604E-05
496	71.92999	7.94105E-05	2.59516E-05
497	72.00884	7.87432E-05	2.52638E-05
498	72.88126	7.94308E-05	2.51623E-05
499	73.84702	7.01422E-05	2.55573E-05
500	72.42426	8.08602E-05	2.55733E-05
501	72.38983	9.39757E-05	2.51811E-05
502	72.52614	7.58268E-05	2.60228E-05
503	72.62813	7.1008E-05	2.60682E-05
504	72.63443	7.14433E-05	2.65513E-05
505	72.08685	7.59786E-05	2.62365E-05
506	71.52102	9.01511E-05	2.45188E-05
507	73.11071	8.14378E-05	2.54977E-05
508	74.71274	7.6152E-05	2.64076E-05
509	72.73682	9.29005E-05	2.59088E-05
510	71.92588	7.04201E-05	2.72647E-05
511	71.45479	7.15388E-05	2.67847E-05
512	71.70634	9.02786E-05	2.54445E-05
513	73.34634	9.78221E-05	2.4248E-05
514	72.87684	7.11445E-05	2.52747E-05
515	76.08313	8.23084E-05	2.57351E-05
516	73.72262	7.09124E-05	2.57758E-05
517	72.41734	7.17909E-05	2.5775E-05
518	73.64223	7.02443E-05	2.71193E-05
519	72.89866	8.11356E-05	2.6558E-05
520	70.99535	8.59679E-05	2.52961E-05
521	72.76624	6.30134E-05	2.66936E-05
522	72.3111	8.42173E-05	2.60774E-05
523	73.22215	6.91766E-05	2.71162E-05
524	71.80547	7.0567E-05	2.71773E-05
525	73.02044	9.74568E-05	2.60759E-05
526	71.96949	8.8125E-05	2.56057E-05
527	73.32494	8.2794E-05	2.54751E-05
528	72.72083	8.33732E-05	2.5119E-05
529	72.47047	8.27281E-05	2.5356E-05
530	73.7802	0.000080258	2.60303E-05
531	72.38364	7.42574E-05	2.64533E-05
532	72.39774	7.32633E-05	2.69458E-05
533	72.5535	7.8386E-05	2.67136E-05
534	74.2525	7.76405E-05	2.66311E-05
535	72.80433	7.78458E-05	2.61523E-05
536	72.62873	8.68474E-05	2.56045E-05
537	73.06059	6.65595E-05	2.70507E-05
538	73.15332	8.41189E-05	2.63989E-05
539	73.00866	8.52649E-05	2.66571E-05
540	73.2464	9.14743E-05	2.62693E-05
541	73.96075	8.33716E-05	2.64385E-05
542	74.46217	7.10313E-05	2.59869E-05
543	73.72609	8.76219E-05	2.49215E-05
544	72.84449	7.85579E-05	2.48341E-05
545	73.77807	7.3696E-05	2.64355E-05
546	72.58759	6.78967E-05	2.66638E-05
547	74.39797	8.41443E-05	2.67623E-05
548	72.63383	9.41904E-05	2.53407E-05
549	73.37862	9.01987E-05	2.50011E-05
550	73.01302	7.96048E-05	2.5502E-05
551	71.54013	7.35219E-05	2.6096E-05
552	72.6777	8.247E-05	2.58908E-05
553	71.66179	7.05747E-05	2.67559E-05
554	72.66601	7.85666E-05	2.70929E-05
555	73.02009	7.74152E-05	2.71766E-05
556	74.50756	9.00851E-05	2.55379E-05
557	72.70786	0.000073253	2.62578E-05
558	72.07284	8.61744E-05	2.5855E-05
559	71.4602	8.43452E-05	2.57075E-05
560	72.64518	8.39285E-05	2.6616E-05
561	73.13329	7.9993E-05	2.72835E-05
562	72.4212	8.16248E-05	2.78448E-05
563	73.07178	9.08985E-05	2.68395E-05
564	72.72281	8.47825E-05	2.63666E-05
565	71.71876	6.2338E-05	2.73592E-05
566	73.5846	7.55748E-05	2.77927E-05
567	73.68264	7.8521E-05	2.69019E-05
568	72.80888	8.58222E-05	2.71493E-05
569	72.91846	8.46383E-05	2.78017E-05
570	72.42976	8.97704E-05	2.72942E-05
571	72.51688	9.62889E-05	2.66136E-05
572	72.00872	7.02289E-05	2.76475E-05
573	73.72008	8.11542E-05	2.73164E-05
574	71.96242	7.26578E-05	2.78271E-05
575	70.62396	7.95999E-05	2.71505E-05
576	73.5808	8.10191E-05	2.85951E-05
577	73.36651	9.29554E-05	2.73614E-05
578	71.78515	7.58471E-05	2.74396E-05
579	73.17545	8.2447E-05	2.69094E-05
580	72.33755	7.94414E-05	2.69146E-05
581	72.08318	9.17658E-05	2.61828E-05
582	73.63857	8.71938E-05	2.668E-05
583	71.48643	8.76061E-05	2.60555E-05
584	73.65516	7.57507E-05	2.73306E-05
585	72.31274	7.07868E-05	2.75072E-05
586	74.30345	8.61673E-05	2.72716E-05
586.78	72.11985	8.07555E-05	2.72551E-05
587.78	73.39967	9.83724E-05	2.7492E-05
588.78	75.24099	9.86326E-05	2.84068E-05
589.78	76.40553	0.000110281	2.77819E-05
590.78	81.0378	0.000111864	2.88355E-05
591.78	81.00885	0.000117594	2.6644E-05
592.78	81.65848	0.000131399	2.46268E-05
593.78	84.92104	0.000136498	2.47619E-05
594.78	81.69077	0.000145828	2.2039E-05
595.78	83.29796	0.000150043	2.28056E-05
596.78	82.32052	0.00015786	2.16753E-05
597.78	83.64052	0.000166471	2.08289E-05
598.78	86.53416	0.000179012	1.97024E-05
599.78	86.95853	0.000185464	1.88503E-05
600.78	90.24031	0.000195413	1.92893E-05
601.78	89.11983	0.000204171	1.77689E-05
